,Water Year,MONTH,DAY,09480000streamflow(cfs),11151300streamflow(cfs),10172700streamflow(cfs),08194200streamflow(cfs),08267500streamflow(cfs),06154410streamflow(cfs),02235200streamflow(cfs),02177000streamflow(cfs),07315200streamflow(cfs),12041200streamflow(cfs),10259000streamflow(cfs)
18,1981,1,19,0.42,2.7,4.6,1.6,8.9,1.6,0.0,182.0,0.01,2300,2.8
19,1981,1,20,0.43,2.8,4.6,46.0,8.9,1.6,0.0,181.0,0.01,2200,2.7
20,1981,1,21,0.43,2.8,4.6,34.0,8.3,1.6,0.0,215.0,0.01,6200,2.5
21,1981,1,22,0.43,3.9,4.6,17.0,8.7,1.6,0.0,210.0,0.01,4600,2.5
22,1981,1,23,0.46,7.1,4.6,2.9,9.1,1.6,0.0,194.0,0.01,3500,2.5
23,1981,1,24,0.46,4.3,4.8,1.5,8.7,1.6,0.0,182.0,0.01,2600,2.5
24,1981,1,25,0.46,4.0,4.6,0.68,9.0,1.6,0.0,176.0,0.01,2000,2.5
25,1981,1,26,0.46,3.8,4.5,0.44,8.3,1.5,0.0,173.0,0.01,2100,2.5
26,1981,1,27,0.46,3.6,4.6,0.31,8.0,1.5,0.0,174.0,0.01,2200,2.5
27,1981,1,28,0.45,45.0,4.7,0.1,8.8,1.5,0.0,179.0,0.01,2530,3.4
28,1981,1,29,0.44,81.0,4.7,0.07,8.5,1.5,0.0,172.0,0.01,2110,3.5
29,1981,1,30,0.44,74.0,4.2,0.08,9.0,1.5,0.0,173.0,0.01,1860,4.3
30,1981,1,31,0.48,41.0,4.6,0.08,9.5,1.5,0.0,178.0,0.01,1680,3.5
31,1981,2,1,0.47,28.0,4.5,0.05,9.0,1.5,0.0,184.0,0.01,1550,3.0
32,1981,2,2,0.46,23.0,4.5,0.03,8.0,1.4,0.0,548.0,0.01,1460,2.8
33,1981,2,3,0.43,20.0,4.4,0.02,8.8,1.3,0.0,409.0,0.01,1380,2.7
34,1981,2,4,0.43,17.0,4.5,0.04,9.5,1.3,13.0,253.0,0.01,1300,2.6
35,1981,2,5,0.42,15.0,4.5,0.04,10.0,1.3,0.0,278.0,0.01,1190,2.5
36,1981,2,6,0.41,13.0,4.4,0.04,10.0,1.3,0.0,258.0,0.01,1110,2.5
37,1981,2,7,0.41,12.0,4.3,0.04,9.4,1.4,0.0,246.0,0.01,1060,2.4
38,1981,2,8,0.41,10.0,4.3,0.04,9.0,1.4,0.0,237.0,0.01,1010,2.7
39,1981,2,9,0.52,42.0,4.3,0.04,8.2,1.4,0.0,221.0,0.01,972,13.0
40,1981,2,10,0.5,50.0,4.3,0.04,8.3,1.4,0.0,273.0,0.02,918,8.1
41,1981,2,11,0.43,28.0,4.3,0.0,8.0,1.4,0.0,1750.0,0.0,1030,7.0
42,1981,2,12,0.43,23.0,4.4,0.0,8.5,1.4,0.0,863.0,0.0,3120,6.4
43,1981,2,13,0.44,19.0,4.3,0.0,9.0,1.4,0.0,579.0,0.01,4800,6.0
44,1981,2,14,0.43,16.0,4.1,0.02,8.8,1.4,0.0,487.0,0.01,8000,5.5
45,1981,2,15,0.43,14.0,4.1,0.02,8.6,1.4,0.0,422.0,0.01,18000,5.1
46,1981,2,16,0.41,12.0,4.1,0.02,8.4,1.4,0.0,386.0,0.01,20000,4.7
47,1981,2,17,0.4,10.0,4.1,0.02,8.3,1.4,0.0,396.0,0.01,16000,4.6
48,1981,2,18,0.4,9.0,4.1,0.03,8.1,1.4,0.0,1010.0,0.01,14000,4.3
49,1981,2,19,0.4,8.0,4.1,0.02,8.0,1.4,0.0,1470.0,0.01,13000,4.3
50,1981,2,20,0.42,7.5,4.1,0.02,8.1,1.4,0.0,965.0,0.01,6000,4.1
51,1981,2,21,0.42,7.0,4.1,0.01,8.0,1.4,0.0,735.0,0.01,4500,3.9
52,1981,2,22,0.41,6.5,4.1,0.0,8.0,1.4,0.0,619.0,0.01,3600,4.0
53,1981,2,23,0.42,5.8,4.1,0.0,8.3,1.4,0.0,713.0,0.01,3200,3.9
54,1981,2,24,0.4,5.3,4.1,0.0,7.9,1.4,0.0,629.0,0.01,2800,3.9
55,1981,2,25,0.4,5.0,4.1,0.0,7.8,1.4,0.0,548.0,0.01,2500,4.0
56,1981,2,26,0.41,4.7,4.4,0.0,7.8,1.4,0.0,504.0,0.01,2200,5.7
57,1981,2,27,0.42,5.7,4.1,0.0,7.8,1.4,0.0,470.0,0.05,1900,4.2
58,1981,2,28,0.39,13.0,4.1,0.0,7.8,1.4,0.0,444.0,234.0,1700,4.3
59,1981,3,1,0.39,3.3,4.1,0.0,7.8,1.4,0.0,426.0,82.0,1500,6.9
60,1981,3,2,0.49,3.0,4.1,0.01,7.8,1.4,0.0,404.0,14.0,1400,6.2
61,1981,3,3,0.62,34.0,4.1,0.04,8.2,1.4,0.0,380.0,192.0,1400,5.6
62,1981,3,4,0.45,33.0,4.1,0.02,8.2,1.5,0.0,389.0,618.0,1300,5.3
63,1981,3,5,0.58,125.0,4.1,0.0,8.1,1.5,0.0,574.0,238.0,1150,6.2
64,1981,3,6,0.55,57.0,4.1,0.0,8.3,1.5,0.0,468.0,31.0,1050,5.8
65,1981,3,7,0.45,24.0,4.1,0.0,8.2,1.5,0.0,418.0,17.0,1050,5.5
66,1981,3,8,0.41,19.0,4.1,0.0,8.1,1.5,0.0,390.0,29.0,1100,5.3
67,1981,3,9,0.41,16.0,4.1,0.0,7.9,1.5,0.0,373.0,29.0,970,5.1
68,1981,3,10,0.4,14.0,4.1,0.0,8.0,1.5,0.0,362.0,15.0,880,5.0
69,1981,3,11,0.39,12.0,4.1,0.43,8.1,1.4,0.0,350.0,7.1,830,5.0
70,1981,3,12,0.39,11.0,4.1,95.0,8.1,1.4,0.0,339.0,3.4,790,4.8
71,1981,3,13,0.39,10.0,4.1,147.0,8.2,1.4,0.0,331.0,2.1,760,4.9
72,1981,3,14,0.38,20.0,4.1,93.0,8.4,1.4,0.0,327.0,1.7,740,4.9
73,1981,3,15,0.38,14.0,3.8,37.0,8.3,1.4,0.0,315.0,1.5,1050,4.6
74,1981,3,16,0.39,12.0,4.1,13.0,8.4,1.4,0.0,311.0,1.2,1300,4.5
75,1981,3,17,0.4,10.0,3.8,2.7,8.4,1.5,0.0,308.0,1.1,1000,4.3
76,1981,3,18,0.41,9.0,3.8,1.2,8.6,1.5,0.0,312.0,0.82,840,4.3
77,1981,3,19,0.41,203.0,3.8,0.42,8.4,1.5,0.0,343.0,0.79,780,4.6
78,1981,3,20,0.43,80.0,4.1,0.19,8.4,1.5,0.0,308.0,0.69,730,6.1
79,1981,3,21,0.43,81.0,3.8,0.11,8.4,1.4,0.0,289.0,0.65,680,4.5
80,1981,3,22,0.4,150.0,3.8,0.07,8.2,1.4,0.0,298.0,0.53,820,4.3
81,1981,3,23,0.39,38.0,3.8,0.09,8.5,1.4,0.0,343.0,0.5,1400,4.2
82,1981,3,24,0.39,22.0,3.8,0.08,8.6,1.4,23.0,317.0,0.46,1250,4.1
83,1981,3,25,0.37,16.0,3.8,0.07,8.6,1.4,22.0,302.0,0.44,2300,3.9
84,1981,3,26,0.37,14.0,4.1,0.05,8.9,1.4,20.0,291.0,0.45,1550,4.7
85,1981,3,27,0.35,15.0,4.4,0.05,9.1,1.4,19.0,283.0,0.48,1350,4.9
86,1981,3,28,0.36,10.0,4.1,0.02,8.9,1.4,19.0,275.0,0.44,1200,4.4
87,1981,3,29,0.32,9.0,4.1,0.02,8.7,1.4,19.0,272.0,0.39,4300,4.3
88,1981,3,30,0.27,8.0,4.1,0.01,8.8,1.4,20.0,1240.0,0.32,3800,4.3
89,1981,3,31,0.25,7.0,4.1,0.0,8.7,1.5,26.0,953.0,0.26,8800,4.2
90,1981,4,1,0.27,11.0,4.4,0.0,9.1,1.5,25.0,656.0,0.19,4500,3.9
91,1981,4,2,0.26,16.0,4.4,0.0,9.6,1.5,23.0,554.0,0.17,3000,4.1
92,1981,4,3,0.31,13.0,4.4,0.0,9.6,1.5,22.0,484.0,0.15,2400,4.0
93,1981,4,4,0.28,9.1,4.4,0.0,9.1,1.5,21.0,454.0,0.1,2200,3.8
94,1981,4,5,0.26,8.0,4.4,0.0,10.0,1.5,19.0,671.0,0.09,4400,3.6
95,1981,4,6,0.25,7.2,4.1,0.0,9.7,1.5,18.0,665.0,0.07,3200,3.6
96,1981,4,7,0.24,7.0,4.1,0.0,10.0,1.6,17.0,536.0,0.06,2500,3.7
97,1981,4,8,0.21,7.7,4.1,0.0,11.0,1.6,17.0,490.0,0.05,3200,3.7
98,1981,4,9,0.21,7.1,4.1,0.0,11.0,1.6,16.0,476.0,0.04,3300,3.7
99,1981,4,10,0.21,6.0,4.1,0.0,12.0,1.6,16.0,471.0,0.04,3300,3.7
100,1981,4,11,0.22,5.5,4.1,0.0,13.0,1.6,15.0,435.0,0.04,4100,3.5
101,1981,4,12,0.2,5.0,4.1,0.0,13.0,1.6,15.0,417.0,0.05,3200,3.3
102,1981,4,13,0.19,4.7,3.8,0.0,15.0,1.6,14.0,402.0,0.04,2600,3.2
103,1981,4,14,0.17,4.3,4.1,0.0,15.0,1.6,14.0,393.0,0.05,2200,3.2
104,1981,4,15,0.16,4.0,4.1,0.0,14.0,1.6,14.0,405.0,0.04,1990,3.5
105,1981,4,16,0.15,3.7,3.8,0.0,14.0,1.5,15.0,370.0,0.05,2570,3.5
106,1981,4,17,0.17,3.4,3.8,0.0,15.0,1.5,15.0,375.0,0.04,2240,3.5
107,1981,4,18,0.16,4.5,3.8,0.0,16.0,1.5,15.0,406.0,0.59,2060,3.5
108,1981,4,19,0.18,5.8,4.1,12.0,20.0,1.5,14.0,378.0,7.2,2050,3.8
109,1981,4,20,0.19,5.3,4.1,33.0,20.0,1.5,13.0,370.0,137.0,2080,3.5
110,1981,4,21,0.2,4.6,4.1,20.0,19.0,1.5,13.0,374.0,36.0,2050,3.1
111,1981,4,22,0.15,3.8,3.8,1.4,19.0,1.5,13.0,348.0,14.0,4270,3.0
112,1981,4,23,0.11,2.9,4.1,0.47,18.0,1.5,12.0,364.0,14.0,4190,3.1
113,1981,4,24,0.08,2.8,4.1,47.0,18.0,1.5,12.0,415.0,188.0,5230,3.2
114,1981,4,25,0.08,2.7,4.0,309.0,19.0,1.5,12.0,357.0,38.0,3300,3.0
115,1981,4,26,0.08,2.5,4.2,321.0,20.0,1.4,12.0,334.0,9.2,2490,3.2
116,1981,4,27,0.08,2.4,4.5,232.0,21.0,1.5,11.0,325.0,3.1,2450,3.2
117,1981,4,28,0.05,2.3,4.4,68.0,22.0,1.5,10.0,314.0,1.4,6420,3.1
118,1981,4,29,0.02,2.2,4.4,30.0,22.0,1.5,10.0,308.0,1.1,5260,3.1
119,1981,4,30,0.01,2.1,4.4,40.0,23.0,1.5,9.9,306.0,0.87,4690,3.2
120,1981,5,1,0.12,2.0,4.4,117.0,25.0,1.5,9.9,295.0,19.0,4130,3.1
121,1981,5,2,0.1,1.9,4.3,90.0,27.0,1.6,9.9,284.0,1.5,3710,3.1
122,1981,5,3,0.04,1.8,4.7,3700.0,28.0,1.6,9.6,279.0,0.63,3610,3.1
123,1981,5,4,0.0,1.7,4.4,5000.0,28.0,1.6,8.9,274.0,0.42,3430,3.1
124,1981,5,5,0.0,1.7,4.3,3000.0,28.0,1.6,8.6,272.0,0.31,2760,3.0
125,1981,5,6,0.0,1.6,4.3,1500.0,27.0,1.6,8.7,283.0,0.25,2380,3.0
126,1981,5,7,0.0,1.5,4.1,600.0,26.0,1.7,8.7,332.0,0.21,2160,2.9
127,1981,5,8,0.03,1.4,4.1,300.0,25.0,2.9,8.7,299.0,0.24,2010,2.9
128,1981,5,9,0.07,1.4,4.0,170.0,24.0,2.1,8.6,274.0,31.0,2060,2.9
129,1981,5,10,0.08,1.3,4.0,105.0,24.0,2.0,8.1,287.0,20.0,1990,2.9
130,1981,5,11,0.09,1.3,4.1,80.0,24.0,2.0,7.5,895.0,4.7,1870,2.8
131,1981,5,12,0.1,1.2,4.1,58.0,24.0,2.5,7.0,499.0,1.8,1750,2.8
132,1981,5,13,0.13,1.2,4.0,41.0,24.0,2.5,6.9,390.0,1.1,1750,2.8
133,1981,5,14,0.12,1.1,4.0,29.0,23.0,4.3,7.0,351.0,0.94,1830,2.8
134,1981,5,15,0.12,1.1,4.6,20.0,25.0,5.6,6.6,365.0,0.76,1730,2.9
135,1981,5,16,0.13,1.0,4.9,14.0,28.0,9.7,6.0,337.0,0.68,1530,2.9
136,1981,5,17,0.15,0.97,4.2,10.0,27.0,28.0,5.8,315.0,0.56,1450,2.9
137,1981,5,18,0.16,0.94,4.0,7.5,27.0,20.0,5.5,310.0,0.39,1530,2.9
138,1981,5,19,0.16,0.91,4.0,5.2,28.0,14.0,5.3,339.0,0.28,1870,2.9
139,1981,5,20,0.15,0.9,4.1,3.5,28.0,11.0,5.8,407.0,0.2,1630,2.9
140,1981,5,21,0.18,0.89,4.2,2.4,29.0,9.7,6.7,409.0,0.14,1600,2.9
141,1981,5,22,0.19,0.87,4.3,1.6,30.0,11.0,6.6,340.0,0.11,1500,2.8
142,1981,5,23,0.19,0.83,4.3,1.3,29.0,9.7,6.0,311.0,0.11,1450,2.8
143,1981,5,24,0.19,0.8,4.3,0.9,29.0,9.2,5.2,292.0,31.0,1800,2.6
144,1981,5,25,0.19,0.77,4.4,29.0,28.0,8.5,4.9,280.0,285.0,2300,2.7
145,1981,5,26,0.19,0.75,4.5,286.0,28.0,8.2,4.8,286.0,116.0,1750,2.8
146,1981,5,27,0.19,0.73,4.7,4140.0,30.0,7.5,5.5,2200.0,269.0,1650,3.6
147,1981,5,28,0.18,0.71,8.4,1690.0,34.0,7.0,6.6,1620.0,502.0,1550,3.1
148,1981,5,29,0.15,0.69,4.2,459.0,37.0,6.6,7.5,929.0,316.0,1600,2.9
149,1981,5,30,0.15,0.66,4.1,970.0,38.0,6.3,7.8,723.0,154.0,1700,2.8
150,1981,5,31,0.09,0.64,4.0,717.0,39.0,6.1,7.6,677.0,382.0,1600,2.8
151,1981,6,1,0.06,0.63,4.0,705.0,43.0,5.8,7.3,673.0,78.0,1500,2.8
152,1981,6,2,0.01,0.61,3.8,2330.0,40.0,5.6,7.2,704.0,20.0,1450,2.8
153,1981,6,3,0.0,0.59,3.9,2840.0,45.0,5.6,6.7,1080.0,8.7,1600,2.7
154,1981,6,4,0.0,0.57,3.9,970.0,45.0,5.1,6.2,1210.0,7.0,1800,2.6
155,1981,6,5,0.0,0.55,3.8,209.0,45.0,4.9,6.0,1010.0,24.0,3700,2.6
156,1981,6,6,0.0,0.54,3.7,93.0,47.0,4.6,6.0,814.0,89.0,4500,2.6
157,1981,6,7,0.0,0.53,3.7,67.0,50.0,4.4,5.8,710.0,221.0,2700,2.5
158,1981,6,8,0.0,0.52,3.7,60.0,51.0,4.2,4.9,652.0,259.0,2700,2.5
159,1981,6,9,0.0,0.5,3.7,34.0,53.0,3.9,4.3,583.0,23.0,3500,2.5
160,1981,6,10,0.0,0.49,3.8,25.0,52.0,3.7,4.0,533.0,8.2,3700,2.5
161,1981,6,11,0.0,0.32,4.0,17.0,52.0,3.7,4.0,500.0,3.8,3200,2.6
162,1981,6,12,0.0,0.47,4.0,14.0,52.0,3.7,5.1,472.0,2.1,2600,2.6
163,1981,6,13,0.0,0.46,4.1,597.0,51.0,3.5,5.6,468.0,1.6,2300,2.6
164,1981,6,14,0.0,0.45,4.1,1150.0,51.0,5.1,5.5,545.0,1.3,2000,2.6
165,1981,6,15,0.0,0.44,4.1,2170.0,49.0,8.0,4.7,438.0,1.4,1850,2.6
166,1981,6,16,0.0,0.42,3.9,1070.0,47.0,11.0,4.0,411.0,98.0,2100,2.6
167,1981,6,17,0.0,0.42,3.8,1410.0,45.0,9.9,3.6,390.0,297.0,2540,2.6
168,1981,6,18,0.0,0.41,4.0,1320.0,43.0,9.0,3.6,374.0,37.0,2830,2.5
169,1981,6,19,0.0,0.4,4.0,1390.0,40.0,8.5,3.6,367.0,9.7,4530,2.5
170,1981,6,20,0.0,0.39,3.9,665.0,38.0,8.0,3.6,359.0,4.2,3690,2.5
171,1981,6,21,0.0,0.38,3.9,137.0,37.0,7.3,3.4,359.0,2.2,3370,2.5
172,1981,6,22,0.0,0.37,3.9,85.0,35.0,6.8,4.5,328.0,1.5,3460,2.5
173,1981,6,23,0.0,0.36,3.6,54.0,34.0,8.5,5.1,312.0,1.3,3830,2.6
174,1981,6,24,0.0,0.36,3.4,37.0,33.0,7.5,5.8,300.0,0.92,3190,2.6
175,1981,6,25,0.0,0.35,3.4,70.0,32.0,7.0,6.2,316.0,0.67,2710,2.6
176,1981,6,26,0.0,0.34,3.4,283.0,30.0,6.8,6.5,302.0,0.45,2540,2.6
177,1981,6,27,0.0,0.33,3.5,168.0,29.0,6.6,6.7,276.0,0.28,2250,2.6
178,1981,6,28,0.0,0.32,3.4,111.0,28.0,6.3,7.0,270.0,0.16,2060,2.6
179,1981,6,29,0.0,0.31,3.4,60.0,29.0,6.3,7.2,272.0,0.1,2060,2.6
180,1981,6,30,0.0,0.31,3.4,36.0,29.0,6.1,6.5,271.0,0.08,2350,2.6
181,1981,7,1,0.0,0.3,3.5,23.0,28.0,6.1,5.5,346.0,0.06,2020,2.3
182,1981,7,2,0.0,0.29,3.6,18.0,26.0,6.3,4.8,401.0,0.04,1860,2.3
183,1981,7,3,0.0,0.29,3.5,12.0,25.0,6.1,4.4,627.0,0.03,1850,2.3
184,1981,7,4,0.0,0.3,3.5,9.0,24.0,5.8,4.0,417.0,0.03,1980,2.3
185,1981,7,5,0.0,0.32,3.4,6.5,24.0,5.4,3.9,352.0,0.03,1880,2.3
186,1981,7,6,0.0,0.34,3.4,5.0,23.0,4.4,5.1,323.0,0.03,1650,2.3
187,1981,7,7,0.0,0.36,3.4,4.1,24.0,4.2,6.2,299.0,0.02,1470,2.3
188,1981,7,8,5.1,0.48,3.5,7.0,24.0,3.9,7.0,279.0,0.02,1280,2.3
189,1981,7,9,0.41,0.4,3.5,5.0,23.0,4.2,7.9,265.0,0.02,1190,2.3
190,1981,7,10,,0.44,3.5,3.0,23.0,3.7,6.6,253.0,0.02,1250,2.2
191,1981,7,11,0.3,0.45,3.4,2.0,22.0,3.7,5.3,289.0,0.02,1310,2.3
192,1981,7,12,2.6,0.45,3.5,1.9,21.0,3.5,8.2,265.0,0.02,1230,2.4
193,1981,7,13,0.08,0.45,3.5,1.5,21.0,3.5,7.6,261.0,0.02,1380,2.3
194,1981,7,14,0.0,0.44,3.5,1.3,20.0,3.5,6.0,239.0,0.02,1430,2.2
195,1981,7,15,,0.41,3.5,1.1,20.0,3.3,6.3,224.0,0.01,1370,2.5
196,1981,7,16,1.4,0.39,3.7,0.93,19.0,3.1,6.6,220.0,0.01,1320,2.3
197,1981,7,17,,0.37,3.7,0.98,19.0,3.1,6.7,234.0,0.01,1410,2.3
198,1981,7,18,1.7,0.36,3.5,0.91,19.0,2.9,6.7,216.0,0.01,1460,2.1
199,1981,7,19,0.23,0.34,3.5,0.99,18.0,2.9,6.5,217.0,0.01,1450,2.1
200,1981,7,20,0.18,0.33,3.4,0.92,17.0,2.7,6.0,205.0,0.0,1390,2.1
201,1981,7,21,0.17,0.32,3.2,1.0,17.0,2.7,6.9,194.0,0.0,1340,2.3
202,1981,7,22,0.18,0.31,3.2,1.1,17.0,2.7,6.5,180.0,0.0,1230,2.3
203,1981,7,23,1.3,0.29,3.2,1.1,17.0,2.7,6.3,170.0,0.0,1200,2.3
204,1981,7,24,1.5,0.29,3.3,1.2,17.0,2.5,6.3,169.0,0.0,1170,2.3
205,1981,7,25,,0.28,3.2,1.1,16.0,2.5,5.9,219.0,0.0,1320,2.4
206,1981,7,26,0.46,0.28,3.3,1.1,18.0,2.3,5.5,209.0,0.0,1380,2.3
207,1981,7,27,0.21,0.28,3.3,1.3,19.0,2.3,4.9,201.0,0.0,1460,2.3
208,1981,7,28,0.23,0.28,3.3,0.83,16.0,2.2,4.3,273.0,0.01,1450,2.2
209,1981,7,29,,0.28,3.1,0.34,16.0,2.2,3.7,217.0,0.0,1210,2.1
210,1981,7,30,,0.27,3.2,0.31,16.0,2.0,3.6,196.0,0.0,1060,2.2
211,1981,7,31,9.0,0.27,3.0,0.2,16.0,1.8,8.6,187.0,0.0,972,2.1
212,1981,8,1,,0.27,3.0,0.17,15.0,1.8,8.1,186.0,0.0,954,2.1
213,1981,8,2,,0.27,3.0,0.15,16.0,1.8,7.0,234.0,0.0,927,2.0
214,1981,8,3,2.3,0.27,3.0,0.13,16.0,1.8,8.2,250.0,0.0,900,2.1
215,1981,8,4,0.47,0.27,2.9,0.11,15.0,2.0,10.0,207.0,0.0,882,2.1
216,1981,8,5,0.43,0.27,2.9,0.09,15.0,1.8,9.0,192.0,0.0,873,2.1
217,1981,8,6,0.4,0.27,2.9,0.05,16.0,1.8,8.1,188.0,0.0,963,2.3
218,1981,8,7,0.41,0.28,3.0,0.04,16.0,2.2,7.9,194.0,0.0,1160,2.2
219,1981,8,8,0.37,0.28,3.0,0.06,16.0,2.3,7.3,213.0,0.0,1310,2.2
220,1981,8,9,0.34,0.28,3.0,0.04,16.0,2.3,6.6,197.0,0.0,1380,2.3
221,1981,8,10,0.34,0.29,3.2,0.02,16.0,2.3,6.2,220.0,0.0,1470,2.2
222,1981,8,11,0.42,0.29,3.3,0.03,20.0,2.3,6.0,200.0,0.0,1470,2.1
223,1981,8,12,0.39,0.3,3.3,0.01,20.0,2.3,6.9,190.0,0.0,1430,2.1
224,1981,8,13,,0.3,3.3,0.0,18.0,2.3,7.3,185.0,0.0,1300,2.4
225,1981,8,14,,0.3,3.3,0.04,17.0,2.3,10.0,180.0,0.0,1280,2.7
226,1981,8,15,0.58,0.31,3.2,0.02,17.0,2.5,13.0,172.0,0.0,1300,2.1
227,1981,8,16,0.42,0.31,3.1,0.0,17.0,2.5,16.0,165.0,0.0,1230,1.8
228,1981,8,17,0.37,0.32,3.0,0.0,18.0,2.7,23.0,160.0,0.0,1120,1.8
229,1981,8,18,0.32,0.32,3.0,0.01,18.0,2.9,20.0,190.0,0.0,1090,1.8
230,1981,8,19,0.31,0.33,3.0,6.8,17.0,2.9,19.0,180.0,0.0,1040,1.7
231,1981,8,20,0.27,0.33,3.0,141.0,18.0,2.9,24.0,165.0,0.0,963,1.7
232,1981,8,21,0.26,0.34,3.2,136.0,20.0,2.9,32.0,155.0,0.0,828,1.7
233,1981,8,22,1.9,0.34,3.1,8.8,20.0,2.7,37.0,150.0,0.0,778,1.7
234,1981,8,23,1.2,0.35,3.0,2.2,19.0,2.5,39.0,145.0,0.0,778,1.8
235,1981,8,24,0.34,0.36,3.0,0.76,18.0,2.5,42.0,142.0,0.0,1020,1.8
236,1981,8,25,0.28,0.36,3.1,0.36,18.0,2.3,41.0,139.0,0.0,891,1.8
237,1981,8,26,0.27,0.36,3.1,112.0,18.0,2.3,37.0,136.0,0.0,709,1.8
238,1981,8,27,0.27,0.37,3.2,279.0,18.0,2.1,36.0,133.0,0.0,636,1.8
239,1981,8,28,0.19,0.37,3.1,35.0,17.0,2.0,39.0,132.0,0.0,612,1.7
240,1981,8,29,0.15,0.38,3.1,13.0,16.0,2.0,41.0,130.0,0.0,702,1.7
241,1981,8,30,0.3,0.39,3.1,20.0,16.0,1.8,43.0,132.0,0.0,716,1.6
242,1981,8,31,,0.4,3.1,59.0,16.0,1.8,44.0,135.0,0.0,709,1.6
243,1981,9,1,,0.4,3.1,38.0,15.0,1.8,40.0,134.0,0.0,1720,1.8
244,1981,9,2,0.6,0.41,3.1,13.0,15.0,1.8,39.0,144.0,0.0,1190,2.2
245,1981,9,3,,0.41,3.2,441.0,15.0,1.7,37.0,137.0,0.0,828,2.3
246,1981,9,4,7.4,0.42,3.1,5500.0,15.0,1.7,43.0,283.0,0.0,746,2.4
247,1981,9,5,3.3,0.43,3.3,5350.0,15.0,1.7,48.0,371.0,0.0,654,2.6
248,1981,9,6,0.83,0.44,3.7,1820.0,14.0,1.7,49.0,1100.0,0.0,630,2.6
249,1981,9,7,0.18,0.45,3.6,312.0,15.0,1.7,47.0,767.0,0.0,709,6.1
250,1981,9,8,0.16,0.46,3.7,67.0,15.0,1.7,47.0,445.0,0.0,882,3.1
251,1981,9,9,0.31,0.47,3.7,31.0,15.0,1.7,44.0,302.0,0.0,900,2.2
252,1981,9,10,0.24,0.48,3.6,18.0,15.0,1.7,41.0,244.0,0.0,738,2.1
253,1981,9,11,0.19,0.49,3.4,12.0,14.0,1.6,39.0,217.0,0.0,654,2.0
254,1981,9,12,0.17,0.5,3.5,7.9,14.0,1.6,38.0,202.0,0.0,667,1.9
255,1981,9,13,0.17,0.51,3.7,5.9,14.0,1.6,34.0,192.0,0.31,570,1.7
256,1981,9,14,0.16,0.52,3.4,4.5,14.0,1.6,31.0,183.0,39.0,564,1.7
257,1981,9,15,0.14,0.52,3.4,3.6,13.0,1.6,29.0,179.0,350.0,642,1.8
258,1981,9,16,0.08,0.53,3.3,2.9,13.0,1.5,28.0,235.0,49.0,730,1.8
259,1981,9,17,0.08,0.54,3.3,2.3,13.0,1.5,38.0,218.0,5.0,864,1.7
260,1981,9,18,0.09,0.55,3.2,1.9,13.0,1.5,56.0,179.0,1.9,909,1.9
261,1981,9,19,0.15,0.56,3.2,1.7,12.0,1.6,54.0,164.0,1.4,972,1.9
262,1981,9,20,0.14,0.57,3.2,1.7,12.0,1.7,49.0,160.0,1.1,716,1.9
263,1981,9,21,0.14,0.59,3.2,1.5,12.0,1.7,45.0,157.0,0.73,2500,2.1
